,Country,rank,year
0,Australia,8,2016
1,Australia,8,2017
2,Australia,8,2018
3,Australia,8,2019
4,Australia,8,2020
5,Canada,3,2016
6,Canada,3,2017
7,Canada,3,2018
8,Canada,3,2019
9,Canada,3,2020
10,China,6,2016
11,China,6,2017
12,China,6,2018
13,China,6,2019
14,China,6,2020
15,Finland,7,2016
16,Finland,7,2017
17,Finland,7,2018
18,Finland,7,2019
19,Finland,7,2020
20,Poland,9,2016
21,Poland,10,2017
22,Poland,10,2018
23,Poland,11,2019
24,Poland,11,2020
25,Russia,1,2016
26,Russia,2,2017
27,Russia,1,2018
28,Russia,1,2019
29,Russia,1,2020
30,Serbia,10,2016
31,Serbia,9,2017
32,Serbia,9,2018
33,Serbia,9,2019
34,Serbia,9,2020
35,South Africa,2,2016
36,South Africa,1,2017
37,South Africa,2,2018
38,South Africa,2,2019
39,South Africa,2,2020
40,United States,4,2016
41,United States,4,2017
42,United States,4,2018
43,United States,4,2019
44,United States,4,2020
45,Uzbekistan,11,2016
46,Uzbekistan,11,2017
47,Uzbekistan,11,2018
48,Uzbekistan,10,2019
49,Uzbekistan,10,2020
50,Zimbabwe,5,2016
51,Zimbabwe,5,2017
52,Zimbabwe,5,2018
53,Zimbabwe,5,2019
54,Zimbabwe,5,2020
